id;secteur;public;public_employer_type
65305;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65306;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65308;Comptabilité, gestion, ressources humaines;FAUX;
65309;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65310;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65311;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65312;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65314;Agriculture;FAUX;
65315;Bâtiment et travaux publics (BTP);VRAI;Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche
65316;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65317;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65318;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65319;Enseignement;VRAI;Ministère de l’Enseignement supérieur et de la Recherche
65320;Fonction publique;FAUX;
65321;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65322;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65323;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65324;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65325;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65326;Fonction publique;FAUX;
65327;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65328;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65329;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65330;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65331;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65332;Enseignement;FAUX;
65333;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65334;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65335;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65336;Recherche;FAUX;
65337;Social;FAUX;
65338;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65339;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65340;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65341;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65342;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65343;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65344;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65345;Bâtiment et travaux publics (BTP);FAUX;
65347;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65348;Enseignement;FAUX;
65349;Énergie;FAUX;
65350;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65351;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65352;Énergie;FAUX;
65353;Énergie;FAUX;
65354;Enseignement;VRAI;Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche
65355;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65356;Comptabilité, gestion, ressources humaines;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65357;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65358;Banque et assurance;FAUX;
65359;Social;FAUX;
65360;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65361;Bâtiment et travaux publics (BTP);FAUX;
65362;Énergie;FAUX;
65363;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65364;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65365;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65366;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65367;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65368;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65369;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65370;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65371;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65372;Enseignement;VRAI;Ministère de l’Enseignement supérieur et de la Recherche
65373;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65374;Comptabilité, gestion, ressources humaines;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65375;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65376;Santé;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65377;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65378;Banque et assurance;FAUX;
65379;Fonction publique;VRAI;Ministère de l'Intérieur
65380;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65381;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65382;Fonction publique;VRAI;Ministère de l'Intérieur
65383;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65384;Fonction publique;VRAI;Ministère de l'Intérieur
65385;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65386;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65387;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65388;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65389;Hôtellerie, restauration;FAUX;
65390;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65391;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65392;Fonction publique;FAUX;
65393;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65394;Électronique;VRAI;Ministère des Armées
65395;Sécurité;VRAI;Ministère de l'Intérieur
65396;Fonction publique;FAUX;
65397;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65398;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65399;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65400;Sécurité;VRAI;Ministère de l'Intérieur
65401;Conseil et audit;VRAI;Chambre consulaire
65402;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65403;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65404;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65405;Industrie chimique;FAUX;
65406;Santé;FAUX;
65407;Enseignement;FAUX;
65408;Fonction publique;FAUX;
65409;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65410;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65411;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65412;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65413;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65414;Santé;VRAI;Fonction publique hospitalière (FPH)
65415;Santé;VRAI;Ministère des Armées
65416;Santé;VRAI;Ministère des Armées
65417;Enseignement;FAUX;
65418;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65419;Commerce et distribution;FAUX;
65420;Comptabilité, gestion, ressources humaines;FAUX;
65421;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65422;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65423;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65424;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65425;Logistique et transport;FAUX;
65426;Commerce et distribution;FAUX;
65427;Commerce et distribution;FAUX;
65428;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65429;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65431;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65432;Énergie;FAUX;
65433;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65434;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65435;Énergie;FAUX;
65436;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65437;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65438;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65439;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65441;Fonction publique;FAUX;
65442;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65444;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65445;Banque et assurance;FAUX;
65446;Fonction publique;VRAI;Ministère de l'Intérieur
65447;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65448;Énergie;FAUX;
65449;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65450;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65451;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65452;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65453;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65454;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65455;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65456;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65457;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65458;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65460;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65461;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65462;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65463;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65464;Sécurité;VRAI;Ministère de l'Intérieur
65465;Fonction publique;FAUX;
65466;Armée - Défense;VRAI;Ministère de l'Intérieur
65467;Tourisme;FAUX;
65468;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65469;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65470;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65471;Armée - Défense;VRAI;Ministère de l'Intérieur
65472;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65473;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65485;Droit et justice;FAUX;
65486;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65487;Enseignement;FAUX;
65488;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65489;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65490;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65491;Enseignement;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65492;Comptabilité, gestion, ressources humaines;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65493;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65494;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65495;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65498;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65499;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65500;Sport;FAUX;
65501;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65502;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65503;Maintenance;FAUX;
65504;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65505;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65506;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65507;Sécurité;VRAI;Ministère de l'Intérieur
65508;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65509;Commerce et distribution;FAUX;
65510;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65511;Bâtiment et travaux publics (BTP);FAUX;
65513;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65515;Agriculture;FAUX;
65517;Environnement;VRAI;Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche
65518;Enseignement;FAUX;
65519;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65520;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65521;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65522;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65523;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65524;Comptabilité, gestion, ressources humaines;VRAI;Chambre consulaire
65525;Social;FAUX;
65526;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65527;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65528;Fonction publique;VRAI;Chambre consulaire
65529;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65530;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65531;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65532;Fonction publique;VRAI;Ministère de l'Intérieur
65533;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65534;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65535;Fonction publique;VRAI;Ministère de l'Intérieur
65536;Comptabilité, gestion, ressources humaines;FAUX;
65537;Fonction publique;FAUX;
65538;Sécurité;VRAI;Ministère de l'Intérieur
65539;Fonction publique;VRAI;Ministère de l'Intérieur
65540;Informatique et réseaux;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65541;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65542;Banque et assurance;FAUX;
65543;Informatique et réseaux;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65544;Fonction publique;VRAI;Ministère de l'Intérieur
65545;Fonction publique;FAUX;
65546;Informatique et réseaux;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65547;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65548;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65549;Sécurité;VRAI;Ministère de l'Intérieur
65550;Sécurité;VRAI;Ministère de l'Intérieur
65551;Agriculture;FAUX;
65552;Fonction publique;FAUX;
65553;Comptabilité, gestion, ressources humaines;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65554;Communication;VRAI;Ministère de l'Intérieur
65555;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65556;Sport;FAUX;
65557;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65558;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65559;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65560;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65561;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65562;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65563;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65564;Industrie, ingénierie industrielle;FAUX;
65565;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65566;Armée - Défense;VRAI;Ministère des Armées
65567;Social;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65568;Commerce et distribution;FAUX;
65569;Armée - Défense;VRAI;Ministère des Armées
65570;Social;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65571;Agriculture;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65572;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65573;Communication;FAUX;
65574;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65575;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65576;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65577;Social;VRAI;Ministère de l'Action publique, de la Fonction publique et de la Simplification
65578;Social;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65579;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65580;Fonction publique;VRAI;Ministère de l'Intérieur
65581;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65582;Agriculture;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65583;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65584;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65585;Électronique;FAUX;
65586;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65587;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65588;Commerce et distribution;FAUX;
65589;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65590;Agriculture;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65591;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65592;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65594;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65595;Agriculture;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65596;Agriculture;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65597;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65598;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65600;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65602;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65603;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65604;Fonction publique;VRAI;Ministère de la Culture
65605;Commerce et distribution;FAUX;
65606;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65607;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65608;Comptabilité, gestion, ressources humaines;FAUX;
65609;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65610;Enseignement;FAUX;
65611;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65612;Automobile;FAUX;
65613;Fonction publique;VRAI;Ministère de la Culture
65614;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65615;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65616;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65617;Automobile;FAUX;
65618;Commerce et distribution;FAUX;
65619;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65620;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65621;Agriculture;VRAI;Ministère de l'Intérieur
65622;Enseignement;VRAI;Ministère de l’Enseignement supérieur et de la Recherche
65623;Fonction publique;VRAI;Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche
65624;Informatique et réseaux;FAUX;
65625;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65626;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire
65627;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
65628;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65629;Comptabilité, gestion, ressources humaines;FAUX;
