"id";"secteur";"public";"public_employer_type"
67028;"Social";FAUX;
67029;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67030;"Bien-être";FAUX;
67031;"Social";FAUX;
67032;"Commerce et distribution";FAUX;
67033;"Social";FAUX;
67034;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67035;"Social";FAUX;
67036;"Hôtellerie, restauration";FAUX;
67037;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67038;"Fonction publique";VRAI;"Ministère des armées"
67039;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67040;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67041;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67042;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67043;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67044;"Énergie";FAUX;
67045;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67046;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67047;"Industrie, ingénierie industrielle";FAUX;
67049;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67050;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67051;"Enseignement";FAUX;
67053;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67054;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67055;"Fonction publique";VRAI;"Premier ministre"
67056;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67057;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67058;"Fonction publique";VRAI;"Premier ministre"
67059;"Fonction publique";VRAI;"Premier ministre"
67060;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67061;"Fonction publique";VRAI;"Ministère de la Culture"
67062;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67063;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67064;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67065;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67066;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67067;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67068;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67069;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67070;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67071;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67072;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67074;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67077;"Fonction publique";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
67078;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67079;"Immobilier, transactions immobilières";FAUX;
67080;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67081;"Fonction publique";FAUX;
67082;"Commerce et distribution";FAUX;
67083;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67084;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67085;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67086;"Fonction publique";VRAI;"Ministère de l’Agriculture et de la Souveraineté alimentaire"
67087;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67088;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67090;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67091;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67092;"Tourisme";FAUX;
67093;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67094;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67095;"Informatique et réseaux";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
67096;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67097;"Commerce et distribution";FAUX;
67098;"Énergie";FAUX;
67099;"Comptabilité, gestion, ressources humaines";FAUX;
67100;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67101;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67102;"Commerce et distribution";FAUX;
67103;"Culture et patrimoine";FAUX;
67104;"Comptabilité, gestion, ressources humaines";FAUX;
67105;"Conseil et audit";FAUX;
67106;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67107;"Énergie";FAUX;
67108;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67109;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67110;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67111;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67112;"Agriculture";FAUX;
67113;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67114;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67115;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67116;"Arts du spectacle";FAUX;
67117;"Logistique et transport";FAUX;
67118;"Banque et assurance";FAUX;
67119;"Banque et assurance";FAUX;
67120;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67121;"Logistique et transport";FAUX;
67122;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67123;"Comptabilité, gestion, ressources humaines";FAUX;
67124;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67125;"Enseignement";FAUX;
67126;"Social";FAUX;
67127;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67128;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67129;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67130;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67131;"Bien-être";FAUX;
67132;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67133;"Comptabilité, gestion, ressources humaines";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
67134;"Industrie, ingénierie industrielle";FAUX;
67135;"Comptabilité, gestion, ressources humaines";FAUX;
67137;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67138;"Bâtiment et travaux publics (BTP)";FAUX;
67139;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67140;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67141;"Fonction publique";VRAI;"Fonction publique hospitalière (FPH)"
67142;"Commerce et distribution";FAUX;
67143;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67144;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67145;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67148;"Maintenance";FAUX;
67149;"Maintenance";FAUX;
67150;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67151;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67152;"Hôtellerie, restauration";FAUX;
67153;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67154;"Hôtellerie, restauration";FAUX;
67155;"Environnement";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
67156;"Énergie";FAUX;
67157;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67158;"Comptabilité, gestion, ressources humaines";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
67159;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67160;"Énergie";FAUX;
67161;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67162;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67163;"Informatique et réseaux";FAUX;
67164;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67166;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67167;"Automobile";FAUX;
67168;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67169;"Armée - Défense";VRAI;"Ministère de l'Intérieur"
67170;"Paramédical";FAUX;
67171;"Fonction publique";VRAI;"Ministère de l'Action publique, de la Fonction publique et de la Simplification"
67172;"Commerce et distribution";FAUX;
67173;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67174;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67175;"Fonction publique";VRAI;"Ministère de la Culture"
67176;"Droit et justice";VRAI;"Ministère de l'Intérieur"
67177;"Énergie";FAUX;
67178;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67179;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67180;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67181;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67182;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67183;"Énergie";FAUX;
67184;"Banque et assurance";FAUX;
67185;"Banque et assurance";FAUX;
67186;"Banque et assurance";FAUX;
67187;"Banque et assurance";FAUX;
67188;"Hôtellerie, restauration";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67189;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67190;"Environnement";FAUX;
67191;"Environnement";FAUX;
67192;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67193;"Énergie";FAUX;
67194;"Environnement";FAUX;
67195;"Environnement";FAUX;
67196;"Environnement";FAUX;
67197;"Environnement";FAUX;
67198;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67199;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67200;"Immobilier, transactions immobilières";FAUX;
67201;"Immobilier, transactions immobilières";FAUX;
67202;"Arts du spectacle";FAUX;
67203;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67204;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67205;"Enseignement";FAUX;
67206;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67207;"Logistique et transport";FAUX;
67208;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67210;"Informatique et réseaux";FAUX;
67211;"Informatique et réseaux";FAUX;
67212;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67213;"Banque et assurance";FAUX;
67214;"Banque et assurance";FAUX;
67215;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67216;"Armée - Défense";VRAI;"Ministère des Armées"
67217;"Enseignement";FAUX;
67218;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
67219;"Fonction publique";VRAI;"Ministère de la Culture"
67220;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67221;"Social";FAUX;
67224;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67225;"Commerce et distribution";FAUX;
67226;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67227;"Informatique et réseaux";FAUX;
67228;"Informatique et réseaux";FAUX;
67213;"Banque et assurance";FAUX;
67214;"Banque et assurance";FAUX;
67215;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67216;"Armée - Défense";VRAI;"Ministère des Armées"
67217;"Enseignement";FAUX;
67218;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
67219;"Fonction publique";VRAI;"Ministère de la Culture"
67220;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67221;"Social";FAUX;
67224;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67225;"Commerce et distribution";FAUX;
67226;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67227;"Informatique et réseaux";FAUX;
67228;"Informatique et réseaux";FAUX;
67229;"Conseil et audit";FAUX;
67230;"Énergie";FAUX;
67231;"Énergie";FAUX;
67232;"Énergie";FAUX;
67233;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67234;"Agriculture";FAUX;
67235;"Santé";FAUX;
67237;"Agriculture";FAUX;
67238;"Santé";FAUX;
67239;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
67240;"Industrie, ingénierie industrielle";FAUX;
67242;"Automobile";FAUX;
67243;"Santé";FAUX;
67244;"Banque et assurance";FAUX;
67247;"Santé";FAUX;
67248;"Sport";FAUX;
67249;"Culture et patrimoine";FAUX;
67250;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67251;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67252;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67253;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67254;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67255;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67256;"Commerce et distribution";FAUX;
67257;"Commerce et distribution";FAUX;
67258;"Hôtellerie, restauration";FAUX;
67259;"Sport";FAUX;
67261;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67263;"Industrie, ingénierie industrielle";FAUX;
67264;"Énergie";FAUX;
67265;"Industrie, ingénierie industrielle";FAUX;
67266;"Industrie, ingénierie industrielle";FAUX;
67267;"Santé";FAUX;
67268;"Droit et justice";VRAI;"Ministère de la justice"
67269;"Industrie, ingénierie industrielle";FAUX;
67270;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67271;"Industrie, ingénierie industrielle";FAUX;
67272;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67273;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67274;"Commerce et distribution";FAUX;
67275;"Comptabilité, gestion, ressources humaines";FAUX;
67276;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67277;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67278;"Commerce et distribution";FAUX;
67281;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67282;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67283;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67284;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67285;"Enseignement";FAUX;
67286;"Enseignement";FAUX;
67287;"Enseignement";FAUX;
67288;"Enseignement";FAUX;
67289;"Enseignement";FAUX;
67290;"Enseignement";FAUX;
67291;"Enseignement";FAUX;
67292;"Enseignement";FAUX;
67293;"Enseignement";FAUX;
67294;"Enseignement";FAUX;
67298;"Santé";FAUX;
67299;"Enseignement";FAUX;
67300;"Santé";FAUX;
67301;"Énergie";FAUX;
67302;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67303;"Énergie";FAUX;
67304;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67305;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67306;"Environnement";FAUX;
67307;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67310;"Fonction publique";VRAI;"Ministère des Armées"
67311;"Fonction publique";VRAI;"Ministère des Armées"
67312;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67313;"Fonction publique";VRAI;"Ministère de la Culture"
67314;"Commerce et distribution";FAUX;
67315;"Hôtellerie, restauration";FAUX;
67316;"Commerce et distribution";FAUX;
67317;"Commerce et distribution";FAUX;
67318;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67319;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67320;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67322;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67323;"Agriculture";VRAI;"Ministère de l’Agriculture et de la Souveraineté alimentaire"
67324;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67325;"Énergie";FAUX;
67326;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67327;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67329;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67330;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67331;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67332;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67333;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67334;"Fonction publique";VRAI;"Ministère des Sports, de la Jeunesse et de la Vie associative"
67335;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67336;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67337;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67338;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67339;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67340;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67341;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67343;"Social";FAUX;
67344;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67345;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67346;"Fonction publique";VRAI;"Ministère de l'Action publique, de la Fonction publique et de la Simplification"
67347;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67348;"Architecture, urbanisme et paysage";FAUX;
67349;"Construction aéronautique, ferroviaire et navale";FAUX;
67350;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67351;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67352;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67353;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67354;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67355;"Enseignement";FAUX;
67356;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67357;"Enseignement";FAUX;
67358;"Industrie, ingénierie industrielle";FAUX;
67359;"Banque et assurance";FAUX;
67360;"Enseignement";FAUX;
67361;"Banque et assurance";FAUX;
67362;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67363;"Fonction publique";VRAI;"Ministère de la Culture"
67364;"Banque et assurance";FAUX;
67365;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67366;"Banque et assurance";FAUX;
67368;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67369;"Banque et assurance";FAUX;
67370;"Banque et assurance";FAUX;
67371;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67372;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67373;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
67374;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
